Date,Symbols,Close,Change
13.06.16,INTC,27.689,1.004057294
13.06.16,JNJ,100.35,0.998119754
13.06.16,JPM,53.657,0.991071758
13.06.16,KO,37.421,0.988606662
13.06.16,MCD,106.66,1.005148735
13.06.16,MMM,141.99,0.991516466
13.06.16,MRK,46.96,0.995740766
13.06.16,MSFT,45.925,0.97397052
13.06.16,NKE,51.68,0.996371025
13.06.16,PG,69.724,0.992428125
13.06.16,TRV,98.739,0.992882952
13.06.16,UNH,126.02,0.99174092
13.06.16,V,75.484,0.977799929
13.06.16,VZ,40.227,0.998101381
13.06.16,WBA,70.871,1.022917394
13.06.16,WMT,62.607,0.991425252
14.06.16,AAPL,22.666,1.001232754
14.06.16,AMGN,129.67,0.999411888
14.06.16,AXP,55.833,0.95916442
14.06.16,BA,119.07,1.004464412
14.06.16,CAT,63.912,0.995081837
14.06.16,CRM,81.09,0.995091403
14.06.16,CSCO,24.055,1.004160946
14.06.16,CVX,78.579,0.991968656
14.06.16,DIS,92.835,1.0085068
14.06.16,GE,221,1.020449137
14.06.16,GS,132.2,0.983583277
14.06.16,HD,109.7,0.979738804
14.06.16,HON,102.73,1.003300545
14.06.16,IBM,116.61,0.99854571
14.06.16,INTC,27.653,0.999067617
14.06.16,JNJ,100.6,1.002825606
14.06.16,JPM,52.647,0.981191455
14.06.16,KO,37.353,0.998226876
14.06.16,MCD,106.21,0.996097133
14.06.16,MMM,142.39,1.002872075
14.06.16,MRK,47.077,1.002495252
14.06.16,MSFT,45.638,0.993817502
14.06.16,NKE,50.94,0.985612819
14.06.16,PG,70.383,1.009446227
14.06.16,TRV,98.36,0.996017768
14.06.16,UNH,125.81,0.998406816
14.06.16,V,75.65,1.002168225
14.06.16,VZ,40.549,1.007989671
14.06.16,WBA,70.854,0.99976305
14.06.16,WMT,62.977,1.005954626
15.06.16,AAPL,22.591,0.996716451
15.06.16,AMGN,128.76,0.992875438
15.06.16,AXP,56.153,1.005731021
15.06.16,BA,118.76,0.997394622
